,Name,Amplitude,Frequency,FrequencyDerivative,EclipticLatitude,EclipticLongitude,Inclination,ErrorInclination,Polarization,InitialPhase,GalacticLatitude,GalacticLongitude,Period,Mass1,ErrorMass1,Mass2,ErrorMass2,Distance,ErrorDistance
27,KLDra,3.5852403170094165e-23,0.001331729930497015,7.678159257485728e-19,1.3669711490874301,5.831653659768093,1.0471975511965976,0.0,0.0,0.0,0.3350892537488953,1.588490474751615,1501.806,0.76,0.0,0.057,0.0,929.8,91.1
28,PTF0719,3.661492297718764e-23,0.0012451749470800647,5.78998780700755e-19,0.46288428903477846,1.821851692332016,1.0471975511965976,0.0,0.0,0.0,0.427509673629751,2.943621701865329,1606.2,0.8,0.1,0.053,0.021,839.9,201.6
29,CP Eri,3.616513858785176e-23,0.0011494252873563218,3.9981861335686013e-19,-0.4612490272349963,0.7352875012661355,1.0471975511965976,0.0,0.0,0.0,-0.9234502165716957,3.3458328279874214,1740.0,0.8,0.1,0.049,0.02,746.5,202.9
30,SMSSJ0338,1.209422004446953e-22,0.0010892652905615163,8.172250884122334e-19,1.0367520707203768,1.4047307090932148,1.2042771838760873,9.0,0.0,0.0,0.36266545593040567,2.248989386217845,1836.1,0.23,0.015,0.38,0.04,536.12,16.08
31,J2322p2103,1.0106240192378141e-22,0.0010427093760427095,1.2668252918556595e-18,0.4014962681098812,0.002318341097002704,1.0471975511965976,0.0,0.0,0.0,-0.6489902103785794,1.6845062728915792,1918.08,0.25,0.021,0.75,0.26,1133.8,386.2
32,SDSSJ0106,7.625591241373098e-23,0.00085260214173658,3.796032642280452e-19,-0.2756354864967298,0.19991573504401036,1.1693705988362006,13.0,0.0,0.0,-1.2651211069298616,2.3688376552937918,2345.76,0.188,0.011,0.57,0.14500000000000002,823.6,441.3
33,SDSSJ1630,1.3840501951284948e-22,0.0008375209380234506,6.724121209995264e-19,1.1004772339787832,4.045177282704669,1.0471975511965976,0.0,0.0,0.0,0.7567817449817492,1.1706970490677162,2388.0,0.298,0.019,0.76,0.24,848.0,167.0
34,J1526m2711,1.352221617613258e-22,0.000827251381178906,4.668948408391256e-19,-0.14295571792094705,4.118746729567274,1.0471975511965976,0.0,0.0,0.0,0.4222562325812481,5.941863482671819,2417.6448,0.37,0.02,0.4,0.02,625.4,74.5
35,J1506m1125,1.0492679495178367e-22,0.0007162174550788413,1.555651877968282e-19,0.10157814536895553,3.967853787447504,1.0471975511965976,0.0,0.0,0.0,0.6887243761294823,6.068569150378851,2792.448,0.43,0.02,0.18,0.01,413.8,18.3
36,SDSSJ1235,1.1344601656239724e-22,0.0006733027384568979,1.506107853103211e-19,0.31332927236515506,3.1727790347465317,0.47123889803846897,3.8,0.0,0.0,1.3619153219162152,4.965786353164739,2970.432,0.35,0.01,0.27,0.04,446.0,28.0
37,SDSSJ0923,2.7393487754035697e-22,0.0005149754871668109,1.0507522054190313e-19,0.2518301682983234,2.3336859882255654,1.0471975511965976,0.0,0.0,0.0,0.781478153897469,3.417701995926044,3883.68,0.275,0.0115,0.76,0.23,288.0,5.0
38,CDm3011223,3.940291572857928e-22,0.0004726130368715878,1.440040231925979e-19,-0.2899864673950893,3.8602240018787786,1.4468779499032993,0.04,0.0,0.0,0.505061633612867,5.628468671525213,4231.791855,0.54,0.02,0.79,0.01,355.0,7.0
39,SDSSJ1337,4.388710706847701e-22,0.0003365330899526027,1.856006058763817e-20,0.7953751262903282,3.1920200839679365,0.22689280275926285,1.0,0.0,0.0,1.2929381645481473,1.5540900351948068,5942.952,0.51,0.01,0.32,0.01,113.778,0.565753
40,HD265435,3.36366428613472e-22,0.0003363652494123635,5.75623060599934e-20,0.17705111416124933,1.768626125174665,1.117010721276371,9.5,0.0,0.0,0.2579980606883058,3.1942370198176984,5945.917432,0.63,0.125,1.01,0.15,461.096,11.9846
41,ZTFJ1749,4.3266684129295264e-23,0.0012610071024396585,1.7276778667358457e-18,0.5728592035594022,4.660689189243602,1.4913838458291546,1.275,0.0,0.0,0.31245756933828484,0.6023009075584792,1586.03389,0.4,0.060000000000000005,0.28,0.045,2042.0,1244.0
42,ZTFJ1946,2.800387458179067e-23,0.0009931367250683863,5.661928011032228e-19,0.9085153475414697,5.37515382048515,1.3452997874372292,1.4,0.0,0.0,0.06394362780531625,1.174875367296991,2013.82141,0.272,0.0445,0.307,0.091,2116.5,302.9
43,ZTFJ0640,4.9625317873952305e-23,0.0008944479824831307,5.457554034750038e-19,-0.0952373632028535,1.7390342498888491,1.1397000015522971,5.1,0.0,0.0,0.09721832999458814,3.4197824283944214,2236.016,0.39,0.1045,0.325,0.0225,1575.9,621.4
44,ZTFJ2130,7.796022013910842e-23,0.0008473117889624252,6.046149555403452e-19,0.9502321548033217,6.076617266302188,1.5079644737231006,1.0,0.0,0.0,-0.08944637883545739,1.5619911407185851,2360.4062,0.545,0.02,0.337,0.015,1307.3,41.8
45,SDSSJ0822,6.839362289845137e-23,0.0008230207123450019,4.813758822866143e-19,0.1936711673722359,2.1062221827110115,1.530653753999027,0.2,0.0,0.0,0.5584215848340898,3.3495817952207054,2430.0725,0.304,0.014,0.524,0.05,1294.6,1172.9
46,ZTFJ1901,8.29173098474444e-23,0.00082098160690459,4.0659949455221405e-19,1.3025990031641013,5.3548316603819055,1.5233233711406509,0.5,0.0,0.0,0.34869933125594704,1.4544474428691985,2436.10817,0.36,0.04,0.36,0.05,908.7,78.0
47,SDSSJ1043,2.4523357105048397e-23,0.0007302254936324337,2.5954929242576506e-19,-0.03574473257424681,2.7951549877793527,1.0471975511965976,0.0,0.0,0.0,0.9235200297417756,4.225494478955832,2738.88,0.183,0.01,0.76,0.25,2787.2,1217.7
48,ZTFJ2320,4.1249930686532385e-23,0.0006033546882680517,1.3040644376261507e-19,0.6648607231476504,0.1520737218409387,1.4748032179352084,2.95,0.0,0.0,-0.3771743780022346,1.8105225355440735,3314.7998,0.69,0.03,0.2,0.01,1475.9,855.6
49,WZ Sge,4.91916954028947e-22,0.0004083430028956419,1.4764080381326614e-20,0.6443828715853981,5.393518096083379,1.3439035240356338,2.0,0.0,0.0,-0.13840635501240234,1.0042048557322214,4897.8432,0.85,0.04,0.078,0.006,45.2,0.1
50,WD0957,2.549916258558486e-22,0.0003795202663742355,2.2252578138009597e-20,-1.1746304769296148,3.639419642356333,1.3089969389957472,15.0,0.0,0.0,-0.1651587617869714,5.011604736688094,5269.8108038,0.37,0.02,0.32,0.03,163.7,0.8
51,J0221p1710,1.8380514334573965e-22,0.00037769462452924145,2.697440214764167e-20,0.051454377481867895,0.6747811659654311,1.5533430342749535,0.2,0.0,0.0,-0.7092023242431319,2.6467516680766043,5295.2832,0.27,0.01,0.58,0.02,279.3,9.8
52,J2013m1310,1.3344331322614885e-22,0.0003756718515392929,3.1503551082814366e-20,0.11414439479734663,5.283394324162908,1.0471975511965976,0.0,0.0,0.0,-0.42139578526001487,0.5236860420608985,5323.7952,0.37,0.02,0.51,0.02,456.6,58.1
53,EX Hya,4.135369663399332e-22,0.00033924653615716724,8.959291988116953e-21,-0.3786003975749937,3.557886760819523,1.361356816555577,1.0,0.0,0.0,0.5868233277517935,5.291562530024992,5895.4176,0.78,0.03,0.1,0.02,56.9,0.1
54,VW Hyi,4.237191305939702e-22,0.00031167142152587347,6.730574167126987e-21,-1.3805993214398327,5.620807503843225,1.0471975511965976,10.0,0.0,0.0,-0.6655533849800056,4.972231854092353,6417.0144,0.71,0.22,0.11,0.03,53.8,0.1
